warnum,frstyear,lastyear,ccode1,ccode2,length,logleng,censor,oadm,oada,oadp,omdm,omda,omdp,opdm,opda,opdp,durscale,rterrain,rterrstr,summperb,sumpopbg,popratbg,bofadjbg,qualratb,salscale,reprsumb,demosumb,surpdiff,nactors,adis3010
44,1937,1945,710,740,96,4.564348,1,0,0,1,0,0,0,0,0,0,7,.45,3.15,2393,583153,7.256449,.754392,11.75663,2,6,7,0,2,4
45,1938,1938,365,740,1,0,1,0,1,0,0,0,0,0,0,0,4,.45,1.8,1936,251615,2.543224,.598296,1.324459,2,4,6,0,2,2
46,1938,1938,255,315,.033,-3.411248,1,0,0,0,0,1,0,0,0,0,2,.45,.9,945,83926,4.471769,.890277,7.672111,2,1,8,0,2,0
47,1938,1938,255,305,.1,-2.302585,1,0,0,0,0,1,0,0,0,0,2,.45,.9,840,75367,10.11772,.940583,13.24504,2,2,2,0,2,0
48,1939,1939,255,290,1,0,1,0,0,0,0,1,0,0,0,0,2,.45,.9,3025,109546,2.630838,.867265,1.239065,2,3,2,0,2,0
49,1939,1939,365,740,4,1.386294,1,1,0,0,0,0,0,0,0,0,3,0,0,2748,242503,2.397352,.663489,1.880943,1,4,6,0,3,4.5
50,1939,1939,365,375,4,1.386294,1,1,0,0,0,0,0,0,0,0,3,.65,1.95,1826,174328,44.13931,.97697,1.807001,2,3,8,0,2,0
51,1940,1940,255,211,.11,-2.207275,1,0,0,0,0,1,0,0,0,0,2,.45,.9,3382,93316,10.16888,.932587,1.820144,2,6,11,0,2,6
52,1940,1940,255,210,.1,-2.302585,1,0,0,0,0,1,0,0,0,0,2,.45,.9,3364,93904,9.50028,.952788,2.441198,2,6,11,0,2,2
53,1940,1940,255,390,.033,-3.411248,1,0,0,0,0,1,0,0,0,0,2,.45,.9,3313,88855,21.81844,.982082,2.320768,2,6,11,0,2,2
54,1940,1940,255,385,2,.693147,1,0,0,0,0,1,0,0,0,0,2,.55,1.1,3304,87975,28.18879,.979211,3.476597,2,6,11,0,2,2
55,1940,1940,255,220,1.5,.405465,1,0,0,0,0,1,0,0,0,0,2,.25,.5,8300,126687,2.036165,.652924,5.627637,2,2,2,0,2,2
56,1940,1940,325,350,2,.693147,1,1,0,0,0,0,0,0,0,0,3,.55,1.65,1739,51236,6.127,.874473,1.59449,2,3,2,0,2,0
57,1941,1945,2,740,45,3.806662,1,0,1,0,0,0,0,0,0,0,4,.45,1.8,2137.827,80739.89,1.236005,.604302,3.671855,2,8,15,0,2,2
58,1940,1945,200,255,60,4.094345,1,0,1,0,0,0,0,0,0,0,4,.258814,1.035254,5273.166,158681.1,2.304066,.70336,1.924591,2,6,11,0,3,4
59,1941,1945,255,365,46,3.828641,1,0,0,0,0,1,0,0,0,0,2,.45,.9,7757,213019,3.95762,.578629,2.487464,2,2,1,0,2,2
60,1941,1941,255,345,.33,-1.108663,1,0,0,0,0,1,0,0,0,0,2,.25,.5,7250,101373,5.566885,.967385,3.404806,2,6,6,0,2,2
61,1941,1941,255,350,.67,-.400478,1,0,0,0,0,1,0,0,0,0,2,.25,.5,7514,93142,11.92562,.955156,21.11167,2,2,2,0,2,0
62,1940,1940,220,800,3,1.098612,1,0,1,0,0,0,0,0,0,0,4,.75,3,5027,57022,2.727903,.834527,2.931512,1,4,3,0,2,0
65,1948,1948,651,666,8,2.079442,1,1,0,0,0,0,0,0,0,0,3,.1,.3,199,30998,42.23291,.809731,1.299959,2,4.986113,6.7937,0,6,0
66,1950,1953,2,710,36,3.583519,1,0,1,0,0,0,0,0,0,0,4,.25,1,5615,753040,3.386275,.567073,15.71957,2,5.950302,10.85091,0,4,1
67,1956,1956,310,365,1,0,1,0,1,0,0,0,0,0,0,0,4,.35,1.4,5315,210111,20.19978,.950302,5.302196,2,3.36,1,0,2,0
68,1956,1956,200,651,1,0,1,0,1,0,0,0,0,0,0,0,4,.1,.4,1785,121567,4.166029,.876313,1.898512,2,6,11,.985617,4,5.333333
69,1962,1962,710,750,1,0,1,0,1,0,0,0,0,0,0,0,4,.55,2.2,3792,1125328,1.487583,.610402,1.578791,2,6,11,0,2,2
70,1963,1973,817,816,121,4.795791,1,0,0,0,0,0,0,0,1,0,8,.55,4.4,466,33220,1.168407,.533451,1.033023,2,4,2,0,2,1
71,1965,1965,750,770,5,1.609438,1,0,1,0,0,0,0,0,0,0,4,.35,1.4,1253,596636,4.236865,.792318,1.065209,2,8,14,0,2,10
72,1967,1967,651,666,.2,-1.609438,1,0,0,0,0,1,0,0,0,0,2,.1,.2,459,41301,14.43963,.846521,3.506544,2,6.310191,11.0764,0,4,4
73,1970,1970,651,666,.25,-1.386294,1,0,1,0,0,0,0,0,0,0,4,.1,.4,385,36303,11.20679,.751222,2.5992,2,6,11,0,2,2
74,1969,1969,91,92,.15,-1.89712,1,0,1,0,0,0,0,0,0,0,4,.75,3,11,6028,1.285064,.549006,1.230047,2,8,9,0,2,0
75,1971,1971,750,770,2,.693147,1,0,1,0,0,0,0,0,0,0,4,.45,1.8,1370,613111,8.908064,.765866,1.053328,2,8,14,0,2,10
76,1973,1973,651,666,3,1.098612,1,1,0,0,0,0,0,0,0,0,3,.1,.3,761,65506,18.98353,.808324,2.930414,2,6.412981,10.7652,.827035,6,12
78,1974,1974,352,640,1,0,1,0,1,0,0,0,0,0,0,0,4,.25,1,461,39699,61.71564,.960817,1.512098,1,8,17,0,2,2
79,1975,1975,816,817,3,1.098612,1,0,1,0,0,0,0,0,0,0,4,.55,2.2,1270,68448,2.284295,.5384,2.367211,2,4,3,0,2,0
81,1977,1978,530,520,8,2.079442,1,0,1,0,0,0,0,0,0,0,4,.1,.4,86,32634,7.933479,.79365,2.522962,2,2,0,0,2,2
82,1978,1979,500,510,6,1.791759,1,0,1,0,0,0,0,0,0,0,4,0,0,85,32081,1.06601,.647909,5.069675,2,2,1,0,3,4.5
84,1980,1988,630,645,96,4.564348,1,0,1,0,0,0,0,0,0,0,4,.1,.4,482,51583,2.896586,.59348,1.008371,2,5,3,1,2,4
85,1982,1982,160,200,3,1.098612,1,0,0,0,0,1,0,0,0,0,2,.05,.1,481,85493,1.93206,.594663,2.718585,2,7,11,0,2,0
86,1982,1982,652,666,2,.693147,1,0,1,0,0,0,0,0,0,0,4,.35,1.4,396,13325,2.308915,.525769,4.125695,2,8,12,0,2,8
87,1985,1990,710,816,60,4.094345,1,0,1,0,0,0,0,0,0,0,4,.35,1.4,5267,1104887,17.54864,.857829,4.015958,2,2,2,0,2,0
88,1914,1918,365,255,52,3.951244,1,0,1,0,0,0,0,0,0,0,4,.436057,1.744228,4838.6,435043.2,2.450177,.583414,1.232011,2,7.163554,9.599411,0,9,3.666667
