"","proposal_ID","loc_time","loc_year","propspec","signedas","loc_month","livemonth","post_mid","congress_2","passed2","scsentences","scmonth","sctrend","exog_event","fil_distance","presApp","sTerm","midtermyear_unifsen","pres.maj.med","opp.sen","agendaSize","scmonths","key","critical"
"30",18,196705,1967,"amend public asstnc law...4/5","Social Security Amends (248)",5,5,"1","90",0,0,0,0,0,0.277399986982346,49.36,0,0,0.0314999967813492,36,6,3,0,0
"31",18,196707,1967,"amend public asstnc law...4/5","Social Security Amends (248)",7,7,"1","90",0,0,1,2,0,0.277399986982346,48.912,0,0,0.0314999967813492,36,6,3,0,0
"32",20,196701,1967,"Air Quality Act of 1967...6/11","Air Quality Act of 1967 (148)",1,1,"1","90",0,0,0,0,0,0.277399986982346,51.891,0,0,0.0314999967813492,36,2,3,0,0
"33",20,196709,1967,"Air Quality Act of 1967...6/11","Air Quality Act of 1967 (148)",9,9,"1","90",0,0,0,0,0,0.277399986982346,38.433,0,0,0.0314999967813492,36,6,3,0,0
"34",20,196711,1967,"Air Quality Act of 1967...6/11","Air Quality Act of 1967 (148)",11,11,"1","90",1,0,0,0,0,0.277399986982346,43.957,0,0,0.0314999967813492,36,6,3,0,0
"35",20,196710,1967,"Air Quality Act of 1967...6/11","Air Quality Act of 1967 (148)",10,10,"1","90",0,0,0,0,0,0.277399986982346,41.567,0,0,0.0314999967813492,36,6,3,0,0
"36",20,196702,1967,"Air Quality Act of 1967...6/11","Air Quality Act of 1967 (148)",2,2,"1","90",0,0,0,0,0,0.277399986982346,48.313,0,0,0.0314999967813492,36,4,3,0,0
"37",20,196707,1967,"Air Quality Act of 1967...6/11","Air Quality Act of 1967 (148)",7,7,"1","90",0,0,1,2,0,0.277399986982346,48.912,0,0,0.0314999967813492,36,6,3,0,0
"38",20,196703,1967,"Air Quality Act of 1967...6/11","Air Quality Act of 1967 (148)",3,3,"1","90",0,0,0,0,0,0.277399986982346,50.038,0,0,0.0314999967813492,36,6,3,0,0
"39",20,196706,1967,"Air Quality Act of 1967...6/11","Air Quality Act of 1967 (148)",6,6,"1","90",0,19,1,1,0,0.277399986982346,56.566,0,0,0.0314999967813492,36,6,3,0,0
"40",20,196704,1967,"Air Quality Act of 1967...6/11","Air Quality Act of 1967 (148)",4,4,"1","90",0,0,0,0,0,0.277399986982346,52.443,0,0,0.0314999967813492,36,6,3,0,0
"41",20,196708,1967,"Air Quality Act of 1967...6/11","Air Quality Act of 1967 (148)",8,8,"1","90",0,0,1,3,0,0.277399986982346,40.71,0,0,0.0314999967813492,36,6,3,0,0
"42",20,196705,1967,"Air Quality Act of 1967...6/11","Air Quality Act of 1967 (148)",5,5,"1","90",0,0,0,0,0,0.277399986982346,49.36,0,0,0.0314999967813492,36,6,3,0,0
"43",26,196708,1967,"safe streets and crime control.../7","Omnibus Crime Control/ Safe Streets Act of 1968 (351)",8,8,"1","90",0,0,1,3,0,0.277399986982346,40.71,0,0,0.0314999967813492,36,6,3,0,0
"44",26,196707,1967,"safe streets and crime control.../7","Omnibus Crime Control/ Safe Streets Act of 1968 (351)",7,7,"1","90",0,0,1,2,0,0.277399986982346,48.912,0,0,0.0314999967813492,36,6,3,0,0
"45",26,196705,1967,"safe streets and crime control.../7","Omnibus Crime Control/ Safe Streets Act of 1968 (351)",5,5,"1","90",0,0,0,0,0,0.277399986982346,49.36,0,0,0.0314999967813492,36,6,3,0,0
"46",26,196712,1967,"safe streets and crime control.../7","Omnibus Crime Control/ Safe Streets Act of 1968 (351)",12,12,"1","90",0,0,0,0,0,0.277399986982346,44.619,0,0,0.0314999967813492,36,4,3,0,0
"47",26,196710,1967,"safe streets and crime control.../7","Omnibus Crime Control/ Safe Streets Act of 1968 (351)",10,10,"1","90",0,0,0,0,0,0.277399986982346,41.567,0,0,0.0314999967813492,36,6,3,0,0
"48",26,196702,1967,"safe streets and crime control.../7","Omnibus Crime Control/ Safe Streets Act of 1968 (351)",2,2,"1","90",0,0,0,0,0,0.277399986982346,48.313,0,0,0.0314999967813492,36,4,3,0,0
"49",26,196805,1968,"safe streets and crime control.../7","Omnibus Crime Control/ Safe Streets Act of 1968 (351)",5,17,"1","90",1,0,0,0,1,0.277399986982346,49.669,0,0,0.0314999967813492,36,6,3,0,0
"50",26,196704,1967,"safe streets and crime control.../7","Omnibus Crime Control/ Safe Streets Act of 1968 (351)",4,4,"1","90",0,0,0,0,0,0.277399986982346,52.443,0,0,0.0314999967813492,36,6,3,0,0
"51",26,196703,1967,"safe streets and crime control.../7","Omnibus Crime Control/ Safe Streets Act of 1968 (351)",3,3,"1","90",0,0,0,0,0,0.277399986982346,50.038,0,0,0.0314999967813492,36,6,3,0,0
"52",26,196706,1967,"safe streets and crime control.../7","Omnibus Crime Control/ Safe Streets Act of 1968 (351)",6,6,"1","90",0,19,1,1,0,0.277399986982346,56.566,0,0,0.0314999967813492,36,6,3,0,0
"53",26,196801,1968,"safe streets and crime control.../7","Omnibus Crime Control/ Safe Streets Act of 1968 (351)",1,13,"1","90",0,0,0,0,0,0.277399986982346,49.804,0,0,0.0314999967813492,36,2,3,0,0
"54",26,196709,1967,"safe streets and crime control.../7","Omnibus Crime Control/ Safe Streets Act of 1968 (351)",9,9,"1","90",0,0,0,0,0,0.277399986982346,38.433,0,0,0.0314999967813492,36,6,3,0,0
"55",26,196802,1968,"safe streets and crime control.../7","Omnibus Crime Control/ Safe Streets Act of 1968 (351)",2,14,"1","90",0,0,0,0,1,0.277399986982346,47.147,0,0,0.0314999967813492,36,6,3,0,0
"56",26,196804,1968,"safe streets and crime control.../7","Omnibus Crime Control/ Safe Streets Act of 1968 (351)",4,16,"1","90",0,0,0,0,0,0.277399986982346,52.089,0,0,0.0314999967813492,36,6,3,0,0
"57",26,196803,1968,"safe streets and crime control.../7","Omnibus Crime Control/ Safe Streets Act of 1968 (351)",3,15,"1","90",0,0,0,0,0,0.277399986982346,49.002,0,0,0.0314999967813492,36,6,3,0,0
"58",26,196711,1967,"safe streets and crime control.../7","Omnibus Crime Control/ Safe Streets Act of 1968 (351)",11,11,"1","90",0,0,0,0,0,0.277399986982346,43.957,0,0,0.0314999967813492,36,6,3,0,0
"59",28,196706,1967,"attack age discrimination...5/5","Age Discrimination in Employment Act of 1967 (202)",6,6,"1","90",0,19,1,1,0,0.277399986982346,56.566,0,0,0.0314999967813492,36,6,3,0,0
"60",28,196710,1967,"attack age discrimination...5/5","Age Discrimination in Employment Act of 1967 (202)",10,10,"1","90",0,0,0,0,0,0.277399986982346,41.567,0,0,0.0314999967813492,36,6,3,0,0
"61",28,196701,1967,"attack age discrimination...5/5","Age Discrimination in Employment Act of 1967 (202)",1,1,"1","90",0,0,0,0,0,0.277399986982346,51.891,0,0,0.0314999967813492,36,2,3,0,0
"62",28,196709,1967,"attack age discrimination...5/5","Age Discrimination in Employment Act of 1967 (202)",9,9,"1","90",0,0,0,0,0,0.277399986982346,38.433,0,0,0.0314999967813492,36,6,3,0,0
"63",28,196702,1967,"attack age discrimination...5/5","Age Discrimination in Employment Act of 1967 (202)",2,2,"1","90",0,0,0,0,0,0.277399986982346,48.313,0,0,0.0314999967813492,36,4,3,0,0
"64",28,196708,1967,"attack age discrimination...5/5","Age Discrimination in Employment Act of 1967 (202)",8,8,"1","90",0,0,1,3,0,0.277399986982346,40.71,0,0,0.0314999967813492,36,6,3,0,0
"65",28,196711,1967,"attack age discrimination...5/5","Age Discrimination in Employment Act of 1967 (202)",11,11,"1","90",1,0,0,0,0,0.277399986982346,43.957,0,0,0.0314999967813492,36,6,3,0,0
"66",28,196703,1967,"attack age discrimination...5/5","Age Discrimination in Employment Act of 1967 (202)",3,3,"1","90",0,0,0,0,0,0.277399986982346,50.038,0,0,0.0314999967813492,36,6,3,0,0
"67",28,196707,1967,"attack age discrimination...5/5","Age Discrimination in Employment Act of 1967 (202)",7,7,"1","90",0,0,1,2,0,0.277399986982346,48.912,0,0,0.0314999967813492,36,6,3,0,0
"68",28,196704,1967,"attack age discrimination...5/5","Age Discrimination in Employment Act of 1967 (202)",4,4,"1","90",0,0,0,0,0,0.277399986982346,52.443,0,0,0.0314999967813492,36,6,3,0,0
"69",28,196705,1967,"attack age discrimination...5/5","Age Discrimination in Employment Act of 1967 (202)",5,5,"1","90",0,0,0,0,0,0.277399986982346,49.36,0,0,0.0314999967813492,36,6,3,0,0
"70",41,196710,1967,"pipeline safety","Natural Gas Pipeline Safety Act (481)",10,10,"1","90",0,0,0,0,0,0.277399986982346,41.567,0,0,0.0314999967813492,36,6,3,0,0
"71",41,196711,1967,"pipeline safety","Natural Gas Pipeline Safety Act (481)",11,11,"1","90",0,0,0,0,0,0.277399986982346,43.957,0,0,0.0314999967813492,36,6,3,0,0
"72",41,196704,1967,"pipeline safety","Natural Gas Pipeline Safety Act (481)",4,4,"1","90",0,0,0,0,0,0.277399986982346,52.443,0,0,0.0314999967813492,36,6,3,0,0
"73",41,196803,1968,"pipeline safety","Natural Gas Pipeline Safety Act (481)",3,15,"1","90",0,0,0,0,0,0.277399986982346,49.002,0,0,0.0314999967813492,36,6,3,0,0
"74",41,196802,1968,"pipeline safety","Natural Gas Pipeline Safety Act (481)",2,14,"1","90",0,0,0,0,1,0.277399986982346,47.147,0,0,0.0314999967813492,36,6,3,0,0
"75",41,196703,1967,"pipeline safety","Natural Gas Pipeline Safety Act (481)",3,3,"1","90",0,0,0,0,0,0.277399986982346,50.038,0,0,0.0314999967813492,36,6,3,0,0
"76",41,196705,1967,"pipeline safety","Natural Gas Pipeline Safety Act (481)",5,5,"1","90",0,0,0,0,0,0.277399986982346,49.36,0,0,0.0314999967813492,36,6,3,0,0
"77",41,196801,1968,"pipeline safety","Natural Gas Pipeline Safety Act (481)",1,13,"1","90",0,0,0,0,0,0.277399986982346,49.804,0,0,0.0314999967813492,36,2,3,0,0
"78",41,196804,1968,"pipeline safety","Natural Gas Pipeline Safety Act (481)",4,16,"1","90",0,0,0,0,0,0.277399986982346,52.089,0,0,0.0314999967813492,36,6,3,0,0
"79",41,196708,1967,"pipeline safety","Natural Gas Pipeline Safety Act (481)",8,8,"1","90",0,0,1,3,0,0.277399986982346,40.71,0,0,0.0314999967813492,36,6,3,0,0
"80",41,196805,1968,"pipeline safety","Natural Gas Pipeline Safety Act (481)",5,17,"1","90",0,0,0,0,1,0.277399986982346,49.669,0,0,0.0314999967813492,36,6,3,0,0
"81",41,196707,1967,"pipeline safety","Natural Gas Pipeline Safety Act (481)",7,7,"1","90",0,0,1,2,0,0.277399986982346,48.912,0,0,0.0314999967813492,36,6,3,0,0
"82",41,196807,1968,"pipeline safety","Natural Gas Pipeline Safety Act (481)",7,19,"1","90",1,21,1,2,0,0.277399986982346,46.034,0,0,0.0314999967813492,36,5,3,1,0
"83",41,196709,1967,"pipeline safety","Natural Gas Pipeline Safety Act (481)",9,9,"1","90",0,0,0,0,0,0.277399986982346,38.433,0,0,0.0314999967813492,36,6,3,0,0
"84",41,196712,1967,"pipeline safety","Natural Gas Pipeline Safety Act (481)",12,12,"1","90",0,0,0,0,0,0.277399986982346,44.619,0,0,0.0314999967813492,36,4,3,0,0
"85",41,196706,1967,"pipeline safety","Natural Gas Pipeline Safety Act (481)",6,6,"1","90",0,19,1,1,0,0.277399986982346,56.566,0,0,0.0314999967813492,36,6,3,0,0
"86",41,196702,1967,"pipeline safety","Natural Gas Pipeline Safety Act (481)",2,2,"1","90",0,0,0,0,0,0.277399986982346,48.313,0,0,0.0314999967813492,36,4,3,0,0
"87",41,196806,1968,"pipeline safety","Natural Gas Pipeline Safety Act (481)",6,18,"1","90",0,7,1,1,0,0.277399986982346,49.259,0,0,0.0314999967813492,36,5,3,1,0
"88",42,196710,1967,"amend eco opp act...18/18","Economic Opportunity Act Amendments of 1967 (222)",10,10,"1","90",0,0,0,0,0,0.277399986982346,41.567,0,0,0.0314999967813492,36,6,3,0,0
"89",42,196706,1967,"amend eco opp act...18/18","Economic Opportunity Act Amendments of 1967 (222)",6,6,"1","90",0,19,1,1,0,0.277399986982346,56.566,0,0,0.0314999967813492,36,6,3,0,0
"90",42,196711,1967,"amend eco opp act...18/18","Economic Opportunity Act Amendments of 1967 (222)",11,11,"1","90",0,0,0,0,0,0.277399986982346,43.957,0,0,0.0314999967813492,36,6,3,0,0
"91",42,196712,1967,"amend eco opp act...18/18","Economic Opportunity Act Amendments of 1967 (222)",12,12,"1","90",1,0,0,0,0,0.277399986982346,44.619,0,0,0.0314999967813492,36,4,3,0,0
"92",42,196707,1967,"amend eco opp act...18/18","Economic Opportunity Act Amendments of 1967 (222)",7,7,"1","90",0,0,1,2,0,0.277399986982346,48.912,0,0,0.0314999967813492,36,6,3,0,0
"93",42,196708,1967,"amend eco opp act...18/18","Economic Opportunity Act Amendments of 1967 (222)",8,8,"1","90",0,0,1,3,0,0.277399986982346,40.71,0,0,0.0314999967813492,36,6,3,0,0
"94",42,196704,1967,"amend eco opp act...18/18","Economic Opportunity Act Amendments of 1967 (222)",4,4,"1","90",0,0,0,0,0,0.277399986982346,52.443,0,0,0.0314999967813492,36,6,3,0,0
"95",42,196709,1967,"amend eco opp act...18/18","Economic Opportunity Act Amendments of 1967 (222)",9,9,"1","90",0,0,0,0,0,0.277399986982346,38.433,0,0,0.0314999967813492,36,6,3,0,0
"96",42,196705,1967,"amend eco opp act...18/18","Economic Opportunity Act Amendments of 1967 (222)",5,5,"1","90",0,0,0,0,0,0.277399986982346,49.36,0,0,0.0314999967813492,36,6,3,0,0
"97",42,196703,1967,"amend eco opp act...18/18","Economic Opportunity Act Amendments of 1967 (222)",3,3,"1","90",0,0,0,0,0,0.277399986982346,50.038,0,0,0.0314999967813492,36,6,3,0,0
"98",43,196803,1968,"LSD manufacture as felony","Drug trafficking, possession bill (639)",3,15,"1","90",0,0,0,0,0,0.277399986982346,49.002,0,0,0.0314999967813492,36,6,5,0,0
"99",43,196808,1968,"LSD manufacture as felony","Drug trafficking, possession bill (639)",8,20,"1","90",0,0,1,3,0,0.277399986982346,40.745,0,0,0.0314999967813492,36,2,5,1,0
"100",43,196802,1968,"LSD manufacture as felony","Drug trafficking, possession bill (639)",2,14,"1","90",0,0,0,0,1,0.277399986982346,47.147,0,0,0.0314999967813492,36,6,5,0,0
"101",43,196807,1968,"LSD manufacture as felony","Drug trafficking, possession bill (639)",7,19,"1","90",0,21,1,2,0,0.277399986982346,46.034,0,0,0.0314999967813492,36,5,5,1,0
"102",43,196804,1968,"LSD manufacture as felony","Drug trafficking, possession bill (639)",4,16,"1","90",0,0,0,0,0,0.277399986982346,52.089,0,0,0.0314999967813492,36,6,5,0,0
"103",43,196806,1968,"LSD manufacture as felony","Drug trafficking, possession bill (639)",6,18,"1","90",0,7,1,1,0,0.277399986982346,49.259,0,0,0.0314999967813492,36,5,5,1,0
"104",43,196805,1968,"LSD manufacture as felony","Drug trafficking, possession bill (639)",5,17,"1","90",0,0,0,0,1,0.277399986982346,49.669,0,0,0.0314999967813492,36,6,5,0,0
"105",43,196809,1968,"LSD manufacture as felony","Drug trafficking, possession bill (639)",9,21,"1","90",0,16,1,4,0,0.277399986982346,41.867,0,0,0.0314999967813492,36,2,5,1,0
