"","proposal_ID","loc_time","loc_year","propspec","signedas","loc_month","livemonth","post_mid","congress_2","passed2","scsentences","scmonth","sctrend","exog_event","fil_distance","presApp","sTerm","midtermyear_unifsen","opp.sen","agendaSize","scmonths","key","critical"
"38",9,196708,1967,"juvenile delinquency.../4","Juvenile Deliquency Act of 1968 (445)",8,8,"1","90",0,0,1,3,0,0.277399986982346,40.71,0,0,36,23,3,0,0
"39",9,196802,1968,"juvenile delinquency.../4","Juvenile Deliquency Act of 1968 (445)",2,14,"1","90",0,0,0,0,1,0.277399986982346,47.147,0,0,36,21,3,0,0
"40",9,196709,1967,"juvenile delinquency.../4","Juvenile Deliquency Act of 1968 (445)",9,9,"1","90",0,0,0,0,0,0.277399986982346,38.433,0,0,36,21,3,0,0
"41",9,196702,1967,"juvenile delinquency.../4","Juvenile Deliquency Act of 1968 (445)",2,2,"1","90",0,0,0,0,0,0.277399986982346,48.313,0,0,36,28,3,0,0
"42",9,196807,1968,"juvenile delinquency.../4","Juvenile Deliquency Act of 1968 (445)",7,19,"1","90",1,21,1,2,0,0.277399986982346,46.034,0,0,36,19,3,1,0
"43",9,196707,1967,"juvenile delinquency.../4","Juvenile Deliquency Act of 1968 (445)",7,7,"1","90",0,0,1,2,0,0.277399986982346,48.912,0,0,36,24,3,0,0
"44",9,196804,1968,"juvenile delinquency.../4","Juvenile Deliquency Act of 1968 (445)",4,16,"1","90",0,0,0,0,0,0.277399986982346,52.089,0,0,36,22,3,0,0
"45",9,196806,1968,"juvenile delinquency.../4","Juvenile Deliquency Act of 1968 (445)",6,18,"1","90",0,7,1,1,0,0.277399986982346,49.259,0,0,36,21,3,1,0
"46",9,196712,1967,"juvenile delinquency.../4","Juvenile Deliquency Act of 1968 (445)",12,12,"1","90",0,0,0,0,0,0.277399986982346,44.619,0,0,36,16,3,0,0
"47",9,196703,1967,"juvenile delinquency.../4","Juvenile Deliquency Act of 1968 (445)",3,3,"1","90",0,0,0,0,0,0.277399986982346,50.038,0,0,36,29,3,0,0
"48",9,196801,1968,"juvenile delinquency.../4","Juvenile Deliquency Act of 1968 (445)",1,13,"1","90",0,0,0,0,0,0.277399986982346,49.804,0,0,36,12,3,0,0
"49",9,196704,1967,"juvenile delinquency.../4","Juvenile Deliquency Act of 1968 (445)",4,4,"1","90",0,0,0,0,0,0.277399986982346,52.443,0,0,36,29,3,0,0
"50",9,196805,1968,"juvenile delinquency.../4","Juvenile Deliquency Act of 1968 (445)",5,17,"1","90",0,0,0,0,1,0.277399986982346,49.669,0,0,36,22,3,0,0
"51",9,196803,1968,"juvenile delinquency.../4","Juvenile Deliquency Act of 1968 (445)",3,15,"1","90",0,0,0,0,0,0.277399986982346,49.002,0,0,36,23,3,0,0
"52",9,196711,1967,"juvenile delinquency.../4","Juvenile Deliquency Act of 1968 (445)",11,11,"1","90",0,0,0,0,0,0.277399986982346,43.957,0,0,36,19,3,0,0
"53",9,196705,1967,"juvenile delinquency.../4","Juvenile Deliquency Act of 1968 (445)",5,5,"1","90",0,0,0,0,0,0.277399986982346,49.36,0,0,36,29,3,0,0
"54",10,196806,1968,"Safe Drink Water Act","---",6,18,"1","90",0,7,1,1,0,0.277399986982346,49.259,0,0,36,21,5,1,0
"55",10,196810,1968,"Safe Drink Water Act","---",10,22,"1","90",0,0,1,5,0,0.277399986982346,44.538,0,0,36,12,5,1,0
"56",10,196808,1968,"Safe Drink Water Act","---",8,20,"1","90",0,0,1,3,0,0.277399986982346,40.745,0,0,36,17,5,1,0
"57",10,196804,1968,"Safe Drink Water Act","---",4,16,"1","90",0,0,0,0,0,0.277399986982346,52.089,0,0,36,22,5,0,0
"58",10,196805,1968,"Safe Drink Water Act","---",5,17,"1","90",0,0,0,0,1,0.277399986982346,49.669,0,0,36,22,5,0,0
"59",10,196811,1968,"Safe Drink Water Act","---",11,23,"1","90",0,0,0,0,0,0.277399986982346,48.815,0,0,36,9,5,0,0
"60",10,196812,1968,"Safe Drink Water Act","---",12,24,"1","90",0,0,0,0,0,0.277399986982346,50.635,0,0,36,9,5,0,0
"61",10,196803,1968,"Safe Drink Water Act","---",3,15,"1","90",0,0,0,0,0,0.277399986982346,49.002,0,0,36,23,5,0,0
"62",10,196807,1968,"Safe Drink Water Act","---",7,19,"1","90",0,21,1,2,0,0.277399986982346,46.034,0,0,36,19,5,1,0
"63",10,196809,1968,"Safe Drink Water Act","---",9,21,"1","90",0,16,1,4,0,0.277399986982346,41.867,0,0,36,17,5,1,0
"64",11,196704,1967,"child health care; ...specifics... /3","Social Security Amends (248)",4,4,"1","90",0,0,0,0,0,0.277399986982346,52.443,0,0,36,29,3,0,0
"65",11,196712,1967,"child health care; ...specifics... /3","Social Security Amends (248)",12,12,"1","90",1,0,0,0,0,0.277399986982346,44.619,0,0,36,16,3,0,0
"66",11,196702,1967,"child health care; ...specifics... /3","Social Security Amends (248)",2,2,"1","90",0,0,0,0,0,0.277399986982346,48.313,0,0,36,28,3,0,0
"67",11,196711,1967,"child health care; ...specifics... /3","Social Security Amends (248)",11,11,"1","90",0,0,0,0,0,0.277399986982346,43.957,0,0,36,19,3,0,0
"68",11,196707,1967,"child health care; ...specifics... /3","Social Security Amends (248)",7,7,"1","90",0,0,1,2,0,0.277399986982346,48.912,0,0,36,24,3,0,0
"69",11,196708,1967,"child health care; ...specifics... /3","Social Security Amends (248)",8,8,"1","90",0,0,1,3,0,0.277399986982346,40.71,0,0,36,23,3,0,0
"70",11,196710,1967,"child health care; ...specifics... /3","Social Security Amends (248)",10,10,"1","90",0,0,0,0,0,0.277399986982346,41.567,0,0,36,20,3,0,0
"71",11,196709,1967,"child health care; ...specifics... /3","Social Security Amends (248)",9,9,"1","90",0,0,0,0,0,0.277399986982346,38.433,0,0,36,21,3,0,0
"72",11,196703,1967,"child health care; ...specifics... /3","Social Security Amends (248)",3,3,"1","90",0,0,0,0,0,0.277399986982346,50.038,0,0,36,29,3,0,0
"73",11,196705,1967,"child health care; ...specifics... /3","Social Security Amends (248)",5,5,"1","90",0,0,0,0,0,0.277399986982346,49.36,0,0,36,29,3,0,0
"74",11,196706,1967,"child health care; ...specifics... /3","Social Security Amends (248)",6,6,"1","90",0,19,1,1,0,0.277399986982346,56.566,0,0,36,29,3,0,0
"75",12,196704,1967,"Natl Commission on Product Safety","Natl Commission on Product Safety (146)",4,4,"1","90",0,0,0,0,0,0.277399986982346,52.443,0,0,36,29,1,0,0
"76",12,196702,1967,"Natl Commission on Product Safety","Natl Commission on Product Safety (146)",2,2,"1","90",0,0,0,0,0,0.277399986982346,48.313,0,0,36,28,1,0,0
"77",12,196703,1967,"Natl Commission on Product Safety","Natl Commission on Product Safety (146)",3,3,"1","90",0,0,0,0,0,0.277399986982346,50.038,0,0,36,29,1,0,0
"78",12,196705,1967,"Natl Commission on Product Safety","Natl Commission on Product Safety (146)",5,5,"1","90",0,0,0,0,0,0.277399986982346,49.36,0,0,36,29,1,0,0
"79",12,196706,1967,"Natl Commission on Product Safety","Natl Commission on Product Safety (146)",6,6,"1","90",1,19,1,1,0,0.277399986982346,56.566,0,0,36,29,1,0,0
"80",13,196704,1967,"Fire Safety Act.../5","Fire Safety Act (259)",4,4,"1","90",0,0,0,0,0,0.277399986982346,52.443,0,0,36,29,3,0,0
"81",13,196702,1967,"Fire Safety Act.../5","Fire Safety Act (259)",2,2,"1","90",0,0,0,0,0,0.277399986982346,48.313,0,0,36,28,3,0,0
"82",13,196707,1967,"Fire Safety Act.../5","Fire Safety Act (259)",7,7,"1","90",0,0,1,2,0,0.277399986982346,48.912,0,0,36,24,3,0,0
"83",13,196703,1967,"Fire Safety Act.../5","Fire Safety Act (259)",3,3,"1","90",0,0,0,0,0,0.277399986982346,50.038,0,0,36,29,3,0,0
"84",13,196706,1967,"Fire Safety Act.../5","Fire Safety Act (259)",6,6,"1","90",0,19,1,1,0,0.277399986982346,56.566,0,0,36,29,3,0,0
"85",13,196708,1967,"Fire Safety Act.../5","Fire Safety Act (259)",8,8,"1","90",1,0,1,3,0,0.277399986982346,40.71,0,0,36,23,3,0,0
"86",13,196705,1967,"Fire Safety Act.../5","Fire Safety Act (259)",5,5,"1","90",0,0,0,0,0,0.277399986982346,49.36,0,0,36,29,3,0,0
"87",14,196805,1968,"alcoholic rehab","Alcoholic Rehabilitation Act of 1968 (574)",5,17,"1","90",0,0,0,0,1,0.277399986982346,49.669,0,0,36,22,4,0,0
"88",14,196808,1968,"alcoholic rehab","Alcoholic Rehabilitation Act of 1968 (574)",8,20,"1","90",0,0,1,3,0,0.277399986982346,40.745,0,0,36,17,4,1,0
"89",14,196807,1968,"alcoholic rehab","Alcoholic Rehabilitation Act of 1968 (574)",7,19,"1","90",0,21,1,2,0,0.277399986982346,46.034,0,0,36,19,4,1,0
"90",14,196804,1968,"alcoholic rehab","Alcoholic Rehabilitation Act of 1968 (574)",4,16,"1","90",0,0,0,0,0,0.277399986982346,52.089,0,0,36,22,4,0,0
"91",14,196806,1968,"alcoholic rehab","Alcoholic Rehabilitation Act of 1968 (574)",6,18,"1","90",0,7,1,1,0,0.277399986982346,49.259,0,0,36,21,4,1,0
"92",14,196809,1968,"alcoholic rehab","Alcoholic Rehabilitation Act of 1968 (574)",9,21,"1","90",1,16,1,4,0,0.277399986982346,41.867,0,0,36,17,4,1,0
"93",14,196802,1968,"alcoholic rehab","Alcoholic Rehabilitation Act of 1968 (574)",2,14,"1","90",0,0,0,0,1,0.277399986982346,47.147,0,0,36,21,4,0,0
"94",14,196803,1968,"alcoholic rehab","Alcoholic Rehabilitation Act of 1968 (574)",3,15,"1","90",0,0,0,0,0,0.277399986982346,49.002,0,0,36,23,4,0,0
"95",15,196809,1968,"serviceman's group life insurance increase","---",9,21,"1","90",0,16,1,4,0,0.277399986982346,41.867,0,0,36,17,5,1,0
"96",15,196805,1968,"serviceman's group life insurance increase","---",5,17,"1","90",0,0,0,0,1,0.277399986982346,49.669,0,0,36,22,5,0,0
"97",15,196810,1968,"serviceman's group life insurance increase","---",10,22,"1","90",0,0,1,5,0,0.277399986982346,44.538,0,0,36,12,5,1,0
"98",15,196807,1968,"serviceman's group life insurance increase","---",7,19,"1","90",0,21,1,2,0,0.277399986982346,46.034,0,0,36,19,5,1,0
"99",15,196806,1968,"serviceman's group life insurance increase","---",6,18,"1","90",0,7,1,1,0,0.277399986982346,49.259,0,0,36,21,5,1,0
"100",15,196803,1968,"serviceman's group life insurance increase","---",3,15,"1","90",0,0,0,0,0,0.277399986982346,49.002,0,0,36,23,5,0,0
"101",15,196801,1968,"serviceman's group life insurance increase","---",1,13,"1","90",0,0,0,0,0,0.277399986982346,49.804,0,0,36,12,5,0,0
"102",15,196811,1968,"serviceman's group life insurance increase","---",11,23,"1","90",0,0,0,0,0,0.277399986982346,48.815,0,0,36,9,5,0,0
"103",15,196812,1968,"serviceman's group life insurance increase","---",12,24,"1","90",0,0,0,0,0,0.277399986982346,50.635,0,0,36,9,5,0,0
"104",15,196802,1968,"serviceman's group life insurance increase","---",2,14,"1","90",0,0,0,0,1,0.277399986982346,47.147,0,0,36,21,5,0,0
"105",15,196808,1968,"serviceman's group life insurance increase","---",8,20,"1","90",0,0,1,3,0,0.277399986982346,40.745,0,0,36,17,5,1,0
"106",15,196804,1968,"serviceman's group life insurance increase","---",4,16,"1","90",0,0,0,0,0,0.277399986982346,52.089,0,0,36,22,5,0,0
"107",17,196706,1967,"increase social security benefits for children","Social Security Amends (248)",6,6,"1","90",0,19,1,1,0,0.277399986982346,56.566,0,0,36,29,3,0,0
"108",17,196708,1967,"increase social security benefits for children","Social Security Amends (248)",8,8,"1","90",0,0,1,3,0,0.277399986982346,40.71,0,0,36,23,3,0,0
"109",17,196707,1967,"increase social security benefits for children","Social Security Amends (248)",7,7,"1","90",0,0,1,2,0,0.277399986982346,48.912,0,0,36,24,3,0,0
"110",17,196712,1967,"increase social security benefits for children","Social Security Amends (248)",12,12,"1","90",1,0,0,0,0,0.277399986982346,44.619,0,0,36,16,3,0,0
"111",17,196702,1967,"increase social security benefits for children","Social Security Amends (248)",2,2,"1","90",0,0,0,0,0,0.277399986982346,48.313,0,0,36,28,3,0,0
"112",17,196710,1967,"increase social security benefits for children","Social Security Amends (248)",10,10,"1","90",0,0,0,0,0,0.277399986982346,41.567,0,0,36,20,3,0,0
"113",17,196711,1967,"increase social security benefits for children","Social Security Amends (248)",11,11,"1","90",0,0,0,0,0,0.277399986982346,43.957,0,0,36,19,3,0,0
"114",17,196705,1967,"increase social security benefits for children","Social Security Amends (248)",5,5,"1","90",0,0,0,0,0,0.277399986982346,49.36,0,0,36,29,3,0,0
"115",17,196704,1967,"increase social security benefits for children","Social Security Amends (248)",4,4,"1","90",0,0,0,0,0,0.277399986982346,52.443,0,0,36,29,3,0,0
"116",17,196709,1967,"increase social security benefits for children","Social Security Amends (248)",9,9,"1","90",0,0,0,0,0,0.277399986982346,38.433,0,0,36,21,3,0,0
"117",17,196703,1967,"increase social security benefits for children","Social Security Amends (248)",3,3,"1","90",0,0,0,0,0,0.277399986982346,50.038,0,0,36,29,3,0,0
"118",19,196808,1968,"a)anti-gambling, b)bribery--law enforcment","---",8,20,"1","90",0,0,1,3,0,0.277399986982346,40.745,0,0,36,17,5,1,0
"119",19,196811,1968,"a)anti-gambling, b)bribery--law enforcment","---",11,23,"1","90",0,0,0,0,0,0.277399986982346,48.815,0,0,36,9,5,0,0
"120",19,196804,1968,"a)anti-gambling, b)bribery--law enforcment","---",4,16,"1","90",0,0,0,0,0,0.277399986982346,52.089,0,0,36,22,5,0,0
"121",19,196802,1968,"a)anti-gambling, b)bribery--law enforcment","---",2,14,"1","90",0,0,0,0,1,0.277399986982346,47.147,0,0,36,21,5,0,0
"122",19,196809,1968,"a)anti-gambling, b)bribery--law enforcment","---",9,21,"1","90",0,16,1,4,0,0.277399986982346,41.867,0,0,36,17,5,1,0
"123",19,196803,1968,"a)anti-gambling, b)bribery--law enforcment","---",3,15,"1","90",0,0,0,0,0,0.277399986982346,49.002,0,0,36,23,5,0,0
"124",19,196812,1968,"a)anti-gambling, b)bribery--law enforcment","---",12,24,"1","90",0,0,0,0,0,0.277399986982346,50.635,0,0,36,9,5,0,0
"125",19,196807,1968,"a)anti-gambling, b)bribery--law enforcment","---",7,19,"1","90",0,21,1,2,0,0.277399986982346,46.034,0,0,36,19,5,1,0
"126",19,196806,1968,"a)anti-gambling, b)bribery--law enforcment","---",6,18,"1","90",0,7,1,1,0,0.277399986982346,49.259,0,0,36,21,5,1,0
"127",19,196810,1968,"a)anti-gambling, b)bribery--law enforcment","---",10,22,"1","90",0,0,1,5,0,0.277399986982346,44.538,0,0,36,12,5,1,0
"128",19,196805,1968,"a)anti-gambling, b)bribery--law enforcment","---",5,17,"1","90",0,0,0,0,1,0.277399986982346,49.669,0,0,36,22,5,0,0
"129",21,196807,1968,"head start expansion, school lunches","---",7,19,"1","90",0,21,1,2,0,0.277399986982346,46.034,0,0,36,19,5,1,0
"130",21,196708,1967,"head start expansion, school lunches","---",8,8,"1","90",0,0,1,3,0,0.277399986982346,40.71,0,0,36,23,5,0,0
"131",21,196803,1968,"head start expansion, school lunches","---",3,15,"1","90",0,0,0,0,0,0.277399986982346,49.002,0,0,36,23,5,0,0
"132",21,196809,1968,"head start expansion, school lunches","---",9,21,"1","90",0,16,1,4,0,0.277399986982346,41.867,0,0,36,17,5,1,0
"133",21,196712,1967,"head start expansion, school lunches","---",12,12,"1","90",0,0,0,0,0,0.277399986982346,44.619,0,0,36,16,5,0,0
"134",21,196810,1968,"head start expansion, school lunches","---",10,22,"1","90",0,0,1,5,0,0.277399986982346,44.538,0,0,36,12,5,1,0
"135",21,196802,1968,"head start expansion, school lunches","---",2,14,"1","90",0,0,0,0,1,0.277399986982346,47.147,0,0,36,21,5,0,0
"136",21,196706,1967,"head start expansion, school lunches","---",6,6,"1","90",0,19,1,1,0,0.277399986982346,56.566,0,0,36,29,5,0,0
"137",21,196711,1967,"head start expansion, school lunches","---",11,11,"1","90",0,0,0,0,0,0.277399986982346,43.957,0,0,36,19,5,0,0
"138",21,196805,1968,"head start expansion, school lunches","---",5,17,"1","90",0,0,0,0,1,0.277399986982346,49.669,0,0,36,22,5,0,0
"139",21,196703,1967,"head start expansion, school lunches","---",3,3,"1","90",0,0,0,0,0,0.277399986982346,50.038,0,0,36,29,5,0,0
"140",21,196804,1968,"head start expansion, school lunches","---",4,16,"1","90",0,0,0,0,0,0.277399986982346,52.089,0,0,36,22,5,0,0
"141",21,196811,1968,"head start expansion, school lunches","---",11,23,"1","90",0,0,0,0,0,0.277399986982346,48.815,0,0,36,9,5,0,0
"142",21,196704,1967,"head start expansion, school lunches","---",4,4,"1","90",0,0,0,0,0,0.277399986982346,52.443,0,0,36,29,5,0,0
"143",21,196812,1968,"head start expansion, school lunches","---",12,24,"1","90",0,0,0,0,0,0.277399986982346,50.635,0,0,36,9,5,0,0
"144",21,196707,1967,"head start expansion, school lunches","---",7,7,"1","90",0,0,1,2,0,0.277399986982346,48.912,0,0,36,24,5,0,0
"145",21,196705,1967,"head start expansion, school lunches","---",5,5,"1","90",0,0,0,0,0,0.277399986982346,49.36,0,0,36,29,5,0,0
"146",21,196806,1968,"head start expansion, school lunches","---",6,18,"1","90",0,7,1,1,0,0.277399986982346,49.259,0,0,36,21,5,1,0
"147",21,196801,1968,"head start expansion, school lunches","---",1,13,"1","90",0,0,0,0,0,0.277399986982346,49.804,0,0,36,12,5,0,0
"148",21,196808,1968,"head start expansion, school lunches","---",8,20,"1","90",0,0,1,3,0,0.277399986982346,40.745,0,0,36,17,5,1,0
"149",21,196709,1967,"head start expansion, school lunches","---",9,9,"1","90",0,0,0,0,0,0.277399986982346,38.433,0,0,36,21,5,0,0
"150",21,196710,1967,"head start expansion, school lunches","---",10,10,"1","90",0,0,0,0,0,0.277399986982346,41.567,0,0,36,20,5,0,0
"151",22,196702,1967,"extend Older Americans Act","Social Security Act Amends (248)",2,2,"1","90",0,0,0,0,0,0.277399986982346,48.313,0,0,36,28,3,0,0
"152",22,196712,1967,"extend Older Americans Act","Social Security Act Amends (248)",12,12,"1","90",1,0,0,0,0,0.277399986982346,44.619,0,0,36,16,3,0,0
"153",22,196707,1967,"extend Older Americans Act","Social Security Act Amends (248)",7,7,"1","90",0,0,1,2,0,0.277399986982346,48.912,0,0,36,24,3,0,0
"154",22,196711,1967,"extend Older Americans Act","Social Security Act Amends (248)",11,11,"1","90",0,0,0,0,0,0.277399986982346,43.957,0,0,36,19,3,0,0
"155",22,196710,1967,"extend Older Americans Act","Social Security Act Amends (248)",10,10,"1","90",0,0,0,0,0,0.277399986982346,41.567,0,0,36,20,3,0,0
"156",22,196704,1967,"extend Older Americans Act","Social Security Act Amends (248)",4,4,"1","90",0,0,0,0,0,0.277399986982346,52.443,0,0,36,29,3,0,0
