"","nominee_Cong_ID","loc_year","nominee","nominee_ID","loc_month","loc_time","livemonth","post_mid","congress_2","confirmed2","scsentences","scmonth","sctrend","exog_event","fil_distance","presApp","sTerm","midtermyear_unifsen","aba2","min2","gender","renom","pending_noms","bork","nonpres","pres.maj.med","opp.sen","scmonths","key","critical"
"28",130,1997,"Adelman, Lynn S.",8,11,199711,11,"0","105",1,0,0,0,0,0.739199995994568,66.987,1,0,3,0,0,0,56,1,0.555555999279022,0.829999983310699,55,0,0,0
"29",130,1997,"Adelman, Lynn S.",8,10,199710,10,"0","105",0,0,0,0,0,0.739199995994568,63.465,1,0,3,0,0,0,55,1,0.555555999279022,0.829999983310699,55,0,0,0
"30",130,1997,"Adelman, Lynn S.",8,9,199709,9,"0","105",0,0,0,0,0,0.739199995994568,66.87,1,0,3,0,0,0,60,1,0.555555999279022,0.829999983310699,55,0,0,0
"31",149,2002,"Africk, Lance M.",9,1,200201,13,"0","107",0,0,0,0,0,0.862600028514862,73.531,0,0,5,0,0,0,102,1,0.526315987110138,1.04249997437,51,0,0,0
"32",149,2002,"Africk, Lance M.",9,2,200202,14,"0","107",0,0,0,0,0,0.862600028514862,72.534,0,0,5,0,0,0,102,1,0.526315987110138,1.04249997437,51,0,0,0
"33",149,2002,"Africk, Lance M.",9,4,200204,16,"0","107",1,0,0,0,0,0.862600028514862,71.198,0,0,5,0,0,0,97,1,0.526315987110138,1.04249997437,51,0,0,0
"34",149,2002,"Africk, Lance M.",9,3,200203,15,"0","107",0,0,0,0,0,0.862600028514862,71.99,0,0,5,0,0,0,99,1,0.526315987110138,1.04249997437,51,0,0,0
"35",172,1980,"Aguilar, Robert P.",11,6,198006,18,"1","96",1,0,0,0,0,0.402999997138977,34.742,0,0,2,1,0,0,35,0,0.411764979362488,0.200000017881393,41,0,0,0
"36",172,1980,"Aguilar, Robert P.",11,4,198004,16,"1","96",0,0,0,0,1,0.402999997138977,46.079,0,0,2,1,0,0,40,0,0.411764979362488,0.200000017881393,41,0,0,0
"37",172,1980,"Aguilar, Robert P.",11,5,198005,17,"1","96",0,0,0,0,0,0.402999997138977,43.665,0,0,2,1,0,0,47,0,0.411764979362488,0.200000017881393,41,0,0,0
"38",197,1996,"Aiken, Ann L.",12,2,199602,14,"1","104",0,0,0,0,0,0.700200021266937,58.296,0,0,3,0,1,0,32,1,0.555555999279022,0.810000002384186,52,0,0,0
"39",197,1996,"Aiken, Ann L.",12,5,199605,17,"1","104",0,44,0,0,0,0.700200021266937,60.149,0,0,3,0,1,0,45,1,0.555555999279022,0.810000002384186,52,0,0,0
"40",197,1996,"Aiken, Ann L.",12,9,199609,21,"1","104",0,0,0,0,0,0.700200021266937,64.399,0,0,3,0,1,0,32,1,0.555555999279022,0.810000002384186,52,0,0,0
"41",197,1996,"Aiken, Ann L.",12,4,199604,16,"1","104",0,0,0,0,0,0.700200021266937,59.674,0,0,3,0,1,0,41,1,0.555555999279022,0.810000002384186,52,0,0,0
"42",197,1996,"Aiken, Ann L.",12,8,199608,20,"1","104",0,0,0,0,1,0.700200021266937,61.983,0,0,3,0,1,0,32,1,0.555555999279022,0.810000002384186,52,0,0,0
"43",197,1996,"Aiken, Ann L.",12,7,199607,19,"1","104",0,0,0,0,0,0.700200021266937,61.923,0,0,3,0,1,0,47,1,0.555555999279022,0.810000002384186,52,0,0,0
"44",197,1996,"Aiken, Ann L.",12,1,199601,13,"1","104",0,0,0,0,1,0.700200021266937,53.559,0,0,3,0,1,0,35,1,0.555555999279022,0.810000002384186,52,0,0,0
"45",197,1996,"Aiken, Ann L.",12,3,199603,15,"1","104",0,0,0,0,0,0.700200021266937,59.817,0,0,3,0,1,0,38,1,0.555555999279022,0.810000002384186,52,0,0,0
"46",197,1996,"Aiken, Ann L.",12,12,199612,24,"1","104",0,0,0,0,0,0.700200021266937,65.21,0,0,3,0,1,0,32,1,0.555555999279022,0.810000002384186,52,0,0,0
"47",197,1996,"Aiken, Ann L.",12,6,199606,18,"1","104",0,2,0,0,0,0.700200021266937,59.892,0,0,3,0,1,0,46,1,0.555555999279022,0.810000002384186,52,0,0,0
"48",197,1995,"Aiken, Ann L.",12,12,199512,12,"1","104",0,0,0,0,0,0.700200021266937,57.507,0,0,3,0,1,0,48,1,0.555555999279022,0.810000002384186,52,0,0,0
"49",197,1995,"Aiken, Ann L.",12,11,199511,11,"1","104",0,0,0,0,0,0.700200021266937,56.426,0,0,3,0,1,0,35,1,0.555555999279022,0.810000002384186,52,0,0,0
"50",197,1996,"Aiken, Ann L.",12,11,199611,23,"1","104",0,0,0,0,0,0.700200021266937,62.035,0,0,3,0,1,0,32,1,0.555555999279022,0.810000002384186,52,0,0,0
"51",197,1996,"Aiken, Ann L.",12,10,199610,22,"1","104",0,0,0,0,0,0.700200021266937,63.307,0,0,3,0,1,0,32,1,0.555555999279022,0.810000002384186,52,0,0,0
"52",198,1997,"Aiken, Ann L.",12,10,199710,10,"0","105",0,0,0,0,0,0.739199995994568,63.465,1,0,3,0,1,1,55,1,0.555555999279022,0.829999983310699,55,0,0,0
"53",198,1997,"Aiken, Ann L.",12,9,199709,9,"0","105",0,0,0,0,0,0.739199995994568,66.87,1,0,3,0,1,1,60,1,0.555555999279022,0.829999983310699,55,0,0,0
"54",198,1997,"Aiken, Ann L.",12,5,199705,5,"0","105",0,0,0,0,0,0.739199995994568,64.201,1,0,3,0,1,1,30,1,0.555555999279022,0.829999983310699,55,0,0,0
"55",198,1997,"Aiken, Ann L.",12,11,199711,11,"0","105",0,0,0,0,0,0.739199995994568,66.987,1,0,3,0,1,1,56,1,0.555555999279022,0.829999983310699,55,0,0,0
"56",198,1997,"Aiken, Ann L.",12,1,199701,1,"0","105",0,0,0,0,0,0.739199995994568,65.685,1,0,3,0,1,1,21,1,0.555555999279022,0.829999983310699,55,0,0,0
"57",198,1997,"Aiken, Ann L.",12,3,199703,3,"0","105",0,0,0,0,0,0.739199995994568,63.408,1,0,3,0,1,1,28,1,0.555555999279022,0.829999983310699,55,0,0,0
"58",198,1997,"Aiken, Ann L.",12,8,199708,8,"0","105",0,0,0,0,0,0.739199995994568,66.963,1,0,3,0,1,1,52,1,0.555555999279022,0.829999983310699,55,0,0,0
"59",198,1997,"Aiken, Ann L.",12,4,199704,4,"0","105",0,0,0,0,0,0.739199995994568,62.06,1,0,3,0,1,1,27,1,0.555555999279022,0.829999983310699,55,0,0,0
"60",198,1997,"Aiken, Ann L.",12,7,199707,7,"0","105",0,0,0,0,0,0.739199995994568,65.134,1,0,3,0,1,1,55,1,0.555555999279022,0.829999983310699,55,0,0,0
"61",198,1997,"Aiken, Ann L.",12,2,199702,2,"0","105",0,0,0,0,0,0.739199995994568,67.196,1,0,3,0,1,1,25,1,0.555555999279022,0.829999983310699,55,0,0,0
"62",198,1998,"Aiken, Ann L.",12,1,199801,13,"0","105",1,0,0,0,0,0.739199995994568,66.74,1,0,3,0,1,1,52,1,0.555555999279022,0.829999983310699,55,0,0,0
"63",198,1997,"Aiken, Ann L.",12,12,199712,12,"0","105",0,0,0,0,0,0.739199995994568,63.267,1,0,3,0,1,1,43,1,0.555555999279022,0.829999983310699,55,0,0,0
"64",198,1997,"Aiken, Ann L.",12,6,199706,6,"0","105",0,0,0,0,0,0.739199995994568,63.629,1,0,3,0,1,1,34,1,0.555555999279022,0.829999983310699,55,0,0,0
"65",229,1991,"Albritton, William Harold",14,5,199105,5,"1","102",1,0,0,0,0,0.735400021076202,77.217,0,0,6,0,0,0,24,1,0.571429014205933,0.897000014781952,56,0,0,0
